run_no,best_fitness,genotype_hash,timestamp
14,2925.9304,0*0*0*0*1*1*1*1*0*1*0*0*1*0*0*1*1*0*1*0,205
14,2925.9197,0*0*0*0*1*1*1*1*0*1*0*0*1*0*0*1*1*0*1*0,210
15,3259.0322,1*1*0*1*0*1*1*1*1*1*0*1*1*0*1*1*1*0*0*0,0
15,3020.0615,0*1*0*1*1*0*1*0*0*0*1*0*0*0*1*1*0*0*0*0,5
15,2992.9993,0*1*0*1*1*1*1*0*0*0*1*0*0*0*1*1*0*0*0*0,10
15,2855.127,0*1*0*1*1*0*1*0*0*0*1*0*0*0*1*1*0*0*0*0,15
15,2787.6538,0*1*0*1*1*0*1*0*0*0*1*0*0*0*1*1*0*0*0*0,20
15,2773.714,0*1*0*1*1*0*1*0*0*0*1*0*0*0*1*1*0*0*0*0,25
15,2767.8596,0*1*0*1*1*0*1*0*0*0*1*0*0*0*1*1*0*0*0*0,30
15,2765.0576,0*1*0*1*1*0*1*0*0*0*1*0*0*0*1*1*0*0*0*0,35
15,2759.2373,0*1*0*1*1*0*1*0*0*0*1*0*0*0*1*1*0*0*0*0,40
15,2757.6997,0*1*0*1*1*0*1*0*0*0*1*0*0*0*1*1*0*0*0*0,45
15,2755.8596,0*1*0*1*1*0*1*0*0*0*1*0*0*0*1*1*0*0*0*0,50
15,2755.2358,0*1*0*1*1*0*1*0*0*0*1*0*0*0*1*1*0*0*0*0,55
15,2754.76,0*1*0*1*1*0*1*0*0*0*1*0*0*0*1*1*0*0*0*0,60
15,2752.072,0*1*0*1*1*0*1*0*0*0*1*0*0*0*1*1*0*0*0*0,65
15,2751.985,0*1*0*1*1*0*1*0*0*0*1*0*0*0*1*1*0*0*0*0,70
15,2751.2993,0*1*0*1*1*0*1*0*0*0*1*0*0*0*1*1*0*0*0*0,75
15,2750.8127,0*1*0*1*1*0*1*0*0*0*1*0*0*0*1*1*0*0*0*0,80
15,2750.4858,0*1*0*1*1*0*1*0*0*0*1*0*0*0*1*1*0*0*0*0,85
15,2750.2896,0*1*0*1*1*0*1*0*0*0*1*0*0*0*1*1*0*0*0*0,90
15,2749.8672,0*1*0*1*1*0*1*0*0*0*1*0*0*0*1*1*0*0*0*0,95
15,2749.8533,0*1*0*1*1*0*1*0*0*0*1*0*0*0*1*1*0*0*0*0,100
15,2749.7683,0*1*0*1*1*0*1*0*0*0*1*0*0*0*1*1*0*0*0*0,105
15,2749.6807,0*1*0*1*1*0*1*0*0*0*1*0*0*0*1*1*0*0*0*0,110
15,2749.6353,0*1*0*1*1*0*1*0*0*0*1*0*0*0*1*1*0*0*0*0,115
15,2749.61,0*1*0*1*1*0*1*0*0*0*1*0*0*0*1*1*0*0*0*0,120
15,2749.5896,0*1*0*1*1*0*1*0*0*0*1*0*0*0*1*1*0*0*0*0,130
15,2749.5554,0*1*0*1*1*0*1*0*0*0*1*0*0*0*1*1*0*0*0*0,145
15,2749.5332,0*1*0*1*1*0*1*0*0*0*1*0*0*0*1*1*0*0*0*0,150
15,2749.5208,0*1*0*1*1*0*1*0*0*0*1*0*0*0*1*1*0*0*0*0,155
15,2749.453,0*1*0*1*1*0*1*0*0*0*1*0*0*0*1*1*0*0*0*0,175
15,2749.413,0*1*0*1*1*0*1*0*0*0*1*0*0*0*1*1*0*0*0*0,180
15,2749.3445,0*1*0*1*1*0*1*0*0*0*1*0*0*0*1*1*0*0*0*0,185
15,2749.2764,0*1*0*1*1*0*1*0*0*0*1*0*0*0*1*1*0*0*0*0,190
15,2749.1824,0*1*0*1*1*0*1*0*0*0*1*0*0*0*1*1*0*0*0*0,195
15,2749.0994,0*1*0*1*1*0*1*0*0*0*1*0*0*0*1*1*0*0*0*0,200
15,2749.0735,0*1*0*1*1*0*1*0*0*0*1*0*0*0*1*1*0*0*0*0,205
15,2748.9817,0*1*0*1*1*0*1*0*0*0*1*0*0*0*1*1*0*0*0*0,210
15,2748.9673,0*1*0*1*1*0*1*0*0*0*1*0*0*0*1*1*0*0*0*0,215
15,2748.966,0*1*0*1*1*0*1*0*0*0*1*0*0*0*1*1*0*0*0*0,220
15,2748.9617,0*1*0*1*1*0*1*0*0*0*1*0*0*0*1*1*0*0*0*0,225
16,3177.082,0*1*0*0*1*1*1*1*1*1*1*1*1*0*1*1*0*0*1*0,0
16,3072.275,0*1*0*0*0*1*2*1*0*1*0*2*1*0*1*1*1*1*2*1,5
16,3036.953,0*1*0*0*0*1*2*1*0*1*0*2*1*0*1*1*1*1*2*1,10
16,3002.2798,0*1*0*0*0*1*2*1*0*1*0*2*2*0*1*1*1*1*2*1,15
16,2987.2944,0*1*0*0*0*1*2*1*0*1*0*2*2*0*1*1*1*1*2*1,20
16,2983.3916,0*1*0*0*0*1*2*1*0*1*0*2*2*0*1*1*1*1*2*1,25
16,2982.95,0*1*0*0*0*1*2*1*0*1*0*2*2*0*1*1*1*1*2*1,30
16,2982.7766,0*1*0*0*0*1*2*1*0*1*0*2*2*0*1*1*1*1*2*1,35
16,2982.716,0*1*0*0*0*1*2*1*0*1*0*2*2*0*1*1*1*1*2*1,40
16,2982.6177,0*1*0*0*0*1*2*1*0*1*0*2*2*0*1*1*1*1*2*1,45
16,2982.5686,0*1*0*0*0*1*2*1*0*1*0*2*2*0*1*1*1*1*2*1,50
16,2982.4019,0*1*0*0*0*1*2*1*0*1*0*2*2*0*1*1*1*1*2*1,55
16,2982.3516,0*1*0*0*0*1*2*1*0*1*0*2*2*0*1*1*1*1*2*1,60
16,2982.2883,0*1*0*0*0*1*2*1*0*1*0*2*2*0*1*1*1*1*2*1,65
16,2982.259,0*1*0*0*0*1*2*1*0*1*0*2*2*0*1*1*1*1*2*1,70
16,2982.2578,0*1*0*0*0*1*2*1*0*1*0*2*2*0*1*1*1*1*2*1,75
16,2982.2493,0*1*0*0*0*1*2*1*0*1*0*2*2*0*1*1*1*1*1*1,80
16,2982.1443,0*1*0*0*0*1*2*1*0*1*0*2*2*0*1*1*1*1*1*1,85
16,2982.133,0*1*0*0*0*1*2*1*0*1*0*2*2*0*1*1*1*1*1*1,90
16,2981.9966,0*1*0*0*0*1*2*1*0*1*0*2*2*0*1*1*1*1*1*1,95
16,2981.6938,0*1*0*0*0*1*2*1*0*1*0*2*2*0*1*1*1*1*1*1,105
16,2981.602,0*1*0*0*0*1*2*1*0*1*0*2*2*0*1*1*1*1*1*1,110
16,2981.5984,0*1*0*0*0*1*2*1*0*1*0*2*2*0*1*1*1*1*1*1,115
16,2981.595,0*1*0*0*0*1*2*1*0*1*0*2*2*0*1*1*1*1*1*1,120
16,2981.5933,0*1*0*0*0*1*2*1*0*1*0*2*2*0*1*1*1*1*1*1,125
16,2981.5793,0*1*0*0*0*1*2*1*0*1*0*2*2*0*1*1*1*1*1*1,130
16,2981.5632,0*1*0*0*0*1*2*1*0*1*0*2*2*0*1*1*1*1*1*1,135
16,2981.559,0*1*0*0*0*1*2*1*0*1*0*2*2*0*1*1*1*1*1*1,140
16,2981.5498,0*1*0*0*0*1*2*1*0*1*0*2*2*0*1*1*1*1*1*1,145
16,2981.546,0*1*0*0*0*1*2*1*0*1*0*2*2*0*1*1*1*1*1*1,150
16,2981.5095,0*1*0*0*0*1*2*1*0*1*0*2*2*0*1*1*1*1*1*1,160
16,2981.5088,0*1*0*0*0*1*2*1*0*1*0*2*2*0*1*1*1*1*1*1,175
16,2981.5085,0*1*0*0*0*1*2*1*0*1*0*2*2*0*1*1*1*1*1*1,185
16,2981.507,0*1*0*0*0*1*2*1*0*1*0*2*2*0*1*1*1*1*1*1,200
16,2981.5066,0*1*0*0*0*1*2*1*0*1*0*2*2*0*1*1*1*1*1*1,210
17,3215.971,1*0*0*0*0*1*1*1*0*1*0*2*1*0*2*1*1*0*1*0,0
17,3183.6155,1*0*0*0*0*1*1*1*0*1*0*2*1*0*2*1*1*0*1*0,5
17,3136.3274,1*0*0*0*0*1*1*1*0*1*0*2*1*0*2*1*1*0*1*0,10
17,3122.721,1*0*0*0*0*1*1*1*0*1*0*1*1*0*2*1*1*0*1*0,15
17,3117.201,1*0*0*0*0*1*1*1*0*1*0*1*1*0*2*1*1*0*1*0,20
17,3092.6555,1*0*0*0*0*1*1*1*0*1*0*1*1*0*2*1*1*0*1*0,25
17,3086.5327,1*0*0*0*0*1*1*1*0*1*0*1*1*0*2*1*1*0*1*0,30
17,3083.0935,1*0*0*0*0*1*1*1*0*1*0*1*1*0*2*1*1*0*1*0,35
17,3078.102,1*0*0*0*0*1*1*1*0*1*0*1*1*0*2*1*1*0*1*0,40
17,3074.7637,1*0*0*0*0*1*1*1*0*1*0*1*1*0*2*1*1*0*1*0,45
17,3072.1255,1*0*0*0*0*1*1*1*0*1*0*1*1*0*2*1*1*0*1*0,50
17,3070.7993,1*0*0*0*0*1*1*1*0*1*0*1*1*0*2*1*1*0*1*0,55
17,3063.6443,1*0*0*0*0*1*1*1*0*1*0*1*1*0*2*1*1*0*1*0,60
17,3062.6575,1*0*0*0*0*1*1*1*0*1*0*1*1*0*2*1*1*0*1*0,65
17,3061.0615,1*0*0*0*0*1*1*1*0*1*0*1*1*0*2*1*1*0*1*0,70
17,3059.6726,1*0*0*0*0*1*1*1*0*1*0*1*1*0*2*1*1*0*1*0,75
17,3057.838,1*0*0*0*0*1*1*1*0*1*0*1*1*0*2*1*1*0*1*0,80
17,3056.098,1*0*0*0*0*1*1*1*0*1*0*1*1*0*2*1*1*0*1*0,85
17,3054.4136,1*0*0*0*0*1*1*1*0*1*0*1*1*0*2*1*1*0*1*0,90
17,3051.895,1*0*0*0*0*1*1*1*0*1*0*1*1*0*2*1*1*0*1*0,95
17,3050.732,1*0*0*0*0*1*1*1*0*1*0*1*1*0*2*1*1*0*1*0,100
17,3047.375,1*0*0*0*0*1*1*1*0*1*0*1*1*0*2*1*1*0*1*0,105
17,3046.8145,1*0*0*0*0*1*1*1*0*1*0*1*1*0*2*1*1*0*1*0,110
17,3046.383,1*0*0*0*0*1*1*1*0*1*0*1*1*0*2*1*1*0*1*0,115
17,3045.7449,1*0*0*0*0*1*1*1*0*1*0*1*1*0*2*1*1*0*1*0,125
17,3045.0364,1*0*0*0*0*1*1*1*0*1*0*1*1*0*2*1*1*0*1*0,130
17,3044.9343,1*0*0*0*0*1*1*1*0*1*0*1*1*0*2*1*1*0*1*0,135
17,3044.8525,1*0*0*0*0*1*1*1*0*1*0*1*1*0*2*1*1*0*1*0,140
17,3044.8137,1*0*0*0*0*1*1*1*0*1*0*1*1*0*2*1*1*0*1*0,145
17,3044.617,1*0*0*0*0*1*1*1*0*1*0*1*1*0*2*1*1*0*1*0,150
17,3044.4126,1*0*0*0*0*1*1*1*0*1*0*1*1*0*2*1*1*0*1*0,155
17,3044.2844,1*0*0*0*0*1*1*1*0*1*0*1*1*0*2*1*1*0*1*0,160
