 Time_Seconds Best_Fitness
4332 21665.0 100180
4336 21685.0 100180
4340 21705.0 100180
4344 21725.0 100180
4348 21745.0 100180
4352 21765.0 100120
4356 21785.0 100120
4360 21805.0 100120
4364 21825.0 100120
4368 21845.0 100113
4372 21865.0 100113
4376 21885.0 100113
4380 21905.0 100113
4384 21925.0 100113
4388 21945.0 100113
4392 21965.0 100113
4396 21985.0 100113
4400 22005.0 100113
4404 22025.0 100113
4408 22045.0 100113
4412 22065.0 100113
4416 22085.0 100113
4420 22105.0 100113
4424 22125.0 100113
4428 22145.0 100113
4432 22165.0 100113
4436 22185.0 100113
4440 22205.0 100113
4444 22225.0 100113
4448 22245.0 100113
4452 22265.0 100113
4456 22285.0 100113
4460 22305.0 100113
4464 22325.0 100113
4468 22345.0 100113
4472 22365.0 100113
4476 22385.0 100113
4480 22405.0 100113
4484 22425.0 100113
4488 22445.0 100113
4492 22465.0 100113
4496 22485.0 100113
4500 22505.0 100113
4504 22525.0 100113
4508 22545.0 100113
4512 22565.0 100113
4516 22585.0 100113
4520 22605.0 99925
4524 22625.0 99924
4528 22645.0 99924
4532 22665.0 99924
4536 22685.0 99924
4540 22705.0 99924
4544 22725.0 99924
4548 22745.0 99915
4552 22765.0 99879
4556 22785.0 99865
4560 22805.0 99856
4564 22825.0 99786
4568 22845.0 99702
4572 22865.0 99702
4576 22885.0 99702
4580 22905.0 99702
4584 22925.0 99702
4588 22945.0 99702
4592 22965.0 99702
4596 22985.0 99647
4600 23005.0 99647
4604 23025.0 99595
4608 23045.0 99595
4612 23065.0 99595
4616 23085.0 99595
4620 23105.0 99595
4624 23125.0 99563
4628 23145.0 99531
4632 23165.0 99531
4636 23185.0 99531
4640 23205.0 99509
4644 23225.0 99509
4648 23245.0 99509
4652 23265.0 99509
4656 23285.0 99509
4660 23305.0 99509
4664 23325.0 99509
4668 23345.0 99509
4672 23365.0 99509
4676 23385.0 99509
4680 23405.0 99509
4684 23425.0 99509
4688 23445.0 99509
4692 23465.0 99509
4696 23485.0 99509
4700 23505.0 99509
4704 23525.0 99509
4708 23545.0 99509
4712 23565.0 99509
4716 23585.0 99509
4720 23605.0 99509
4724 23625.0 99509
4728 23645.0 99509
4732 23665.0 99509
4736 23685.0 99509
4740 23705.0 99509
4744 23725.0 99509
4748 23745.0 99044
4752 23765.0 98960
4756 23785.0 98960
4760 23805.0 98923
4764 23825.0 98921
4768 23845.0 98921
4772 23865.0 98921
4776 23885.0 98921
4780 23905.0 98921
4784 23925.0 98921
4788 23945.0 98921
4792 23965.0 98921
4796 23985.0 98921
4800 24005.0 98743
4804 24025.0 98740
4808 24045.0 98740
4812 24065.0 98740
4816 24085.0 98740
4820 24105.0 98740
4824 24125.0 98740
4828 24145.0 98740
4832 24165.0 98740
4836 24185.0 98740
4840 24205.0 98740
4844 24225.0 98740
4848 24245.0 98740
4852 24265.0 98740
4856 24285.0 98740
4860 24305.0 98740
4864 24325.0 98740
4868 24345.0 98740
4872 24365.0 98225
4876 24385.0 98225
4880 24405.0 98225
4884 24425.0 98225
4888 24445.0 98225
4892 24465.0 98225
4896 24485.0 98225
4900 24505.0 98225
4904 24525.0 98225
4908 24545.0 98225
4912 24565.0 98209
4916 24585.0 98209
4920 24605.0 98209
4924 24625.0 98209
4928 24645.0 98209
4932 24665.0 98209
4936 24685.0 98209
4940 24705.0 98209
4944 24725.0 98209
4948 24745.0 98209
4952 24765.0 98209
4956 24785.0 98209
4960 24805.0 98209
4964 24825.0 98209
4968 24845.0 98209
4972 24865.0 98209
4976 24885.0 98209
4980 24905.0 98209
4984 24925.0 98209
4988 24945.0 98209
4992 24965.0 98209
4996 24985.0 98209
5000 25005.0 98209
5004 25025.0 98209
5008 25045.0 98209
5012 25065.0 98209
5016 25085.0 98209
5020 25105.0 98209
5024 25125.0 98209
5028 25145.0 98209
5032 25165.0 98209
5036 25185.0 98209
5040 25205.0 98209
5044 25225.0 98209
5048 25245.0 98209
5052 25265.0 98209
5056 25285.0 98209
5060 25305.0 98209
5064 25325.0 98209
5068 25345.0 98209
5072 25365.0 98209
5076 25385.0 98209
5080 25405.0 98209
