 Time_Seconds Best_Fitness
2940 14705.0 43714.0
2944 14725.0 43714.0
2948 14745.0 43714.0
2952 14765.0 43714.0
2956 14785.0 43714.0
2960 14805.0 43714.0
2964 14825.0 43714.0
2968 14845.0 43714.0
2972 14865.0 43714.0
2976 14885.0 43714.0
2980 14905.0 43714.0
2984 14925.0 43714.0
2988 14945.0 43714.0
2992 14965.0 43714.0
2996 14985.0 43714.0
3000 15005.0 43714.0
3004 15025.0 43714.0
3008 15045.0 43714.0
3012 15065.0 43714.0
3016 15085.0 43714.0
3020 15105.0 43714.0
3024 15125.0 43714.0
3028 15145.0 43714.0
3032 15165.0 43714.0
3036 15185.0 43714.0
3040 15205.0 43714.0
3044 15225.0 43714.0
3048 15245.0 43714.0
3052 15265.0 43714.0
3056 15285.0 43714.0
3060 15305.0 43714.0
3064 15325.0 43714.0
3068 15345.0 43714.0
3072 15365.0 43714.0
3076 15385.0 43714.0
3080 15405.0 43714.0
3084 15425.0 43714.0
3088 15445.0 43714.0
3092 15465.0 43714.0
3096 15485.0 43714.0
3100 15505.0 43714.0
3104 15525.0 43714.0
3108 15545.0 43714.0
3112 15565.0 43714.0
3116 15585.0 43714.0
3120 15605.0 43714.0
3124 15625.0 43714.0
3128 15645.0 43714.0
3132 15665.0 43714.0
3136 15685.0 43714.0
3140 15705.0 43714.0
3144 15725.0 43714.0
3148 15745.0 43714.0
3152 15765.0 43714.0
3156 15785.0 43714.0
3160 15805.0 43714.0
3164 15825.0 43714.0
3168 15845.0 43714.0
3172 15865.0 43714.0
3176 15885.0 43714.0
3180 15905.0 43714.0
3184 15925.0 43714.0
3188 15945.0 43714.0
3192 15965.0 43714.0
3196 15985.0 43714.0
3200 16005.0 43714.0
3204 16025.0 43714.0
3208 16045.0 43714.0
3212 16065.0 43714.0
3216 16085.0 43714.0
3220 16105.0 43714.0
3224 16125.0 43714.0
3228 16145.0 43714.0
3232 16165.0 43714.0
3236 16185.0 43714.0
3240 16205.0 43714.0
3244 16225.0 43714.0
3248 16245.0 43714.0
3252 16265.0 43714.0
3256 16285.0 43714.0
3260 16305.0 43714.0
3264 16325.0 43714.0
3268 16345.0 43714.0
3272 16365.0 43714.0
3276 16385.0 43714.0
3280 16405.0 43714.0
3284 16425.0 43714.0
3288 16445.0 43714.0
3292 16465.0 43714.0
3296 16485.0 43714.0
3300 16505.0 43714.0
3304 16525.0 43714.0
3308 16545.0 43714.0
3312 16565.0 43714.0
3316 16585.0 43714.0
3320 16605.0 43714.0
3324 16625.0 43714.0
3328 16645.0 43714.0
3332 16665.0 43714.0
3336 16685.0 43714.0
3340 16705.0 43714.0
3344 16725.0 43714.0
3348 16745.0 43714.0
3352 16765.0 43714.0
3356 16785.0 43714.0
3360 16805.0 43714.0
3364 16825.0 43714.0
3368 16845.0 43714.0
3372 16865.0 43714.0
3376 16885.0 43714.0
3380 16905.0 43714.0
3384 16925.0 43714.0
3388 16945.0 43714.0
3392 16965.0 43714.0
3396 16985.0 43714.0
3400 17005.0 43714.0
3404 17025.0 43714.0
3408 17045.0 43714.0
3412 17065.0 43714.0
3416 17085.0 43714.0
3420 17105.0 43714.0
3424 17125.0 43714.0
3428 17145.0 43714.0
3432 17165.0 43714.0
3436 17185.0 43714.0
3440 17205.0 43714.0
3444 17225.0 43714.0
3448 17245.0 43714.0
3452 17265.0 43714.0
3456 17285.0 43714.0
3460 17305.0 43714.0
3464 17325.0 43714.0
3468 17345.0 43714.0
3472 17365.0 43714.0
3476 17385.0 43714.0
3480 17405.0 43714.0
3484 17425.0 43714.0
3488 17445.0 43714.0
3492 17465.0 43714.0
3496 17485.0 43708.0
3500 17505.0 43695.0
3504 17525.0 43681.0
3508 17545.0 43627.0
3512 17565.0 43627.0
3516 17585.0 43627.0
3520 17605.0 43627.0
3524 17625.0 43627.0
3528 17645.0 43627.0
3532 17665.0 43627.0
3536 17685.0 43627.0
3540 17705.0 43627.0
3544 17725.0 43627.0
3548 17745.0 43627.0
3552 17765.0 43627.0
3556 17785.0 43624.0
3560 17805.0 43624.0
3564 17825.0 43624.0
3568 17845.0 43624.0
3572 17865.0 43624.0
3576 17885.0 43624.0
3580 17905.0 43624.0
3584 17925.0 43624.0
3588 17945.0 43624.0
3592 17965.0 43624.0
3596 17985.0 43624.0
3600 18005.0 43624.0
3604 18025.0 43624.0
3608 18045.0 43624.0
3612 18065.0 43624.0
3616 18085.0 43624.0
3620 18105.0 43624.0
3624 18125.0 43624.0
3628 18145.0 43624.0
3632 18165.0 43624.0
3636 18185.0 43624.0
3640 18205.0 43624.0
3644 18225.0 43624.0
3648 18245.0 43624.0
3652 18265.0 43624.0
3656 18285.0 43624.0
3660 18305.0 43624.0
3664 18325.0 43624.0
3668 18345.0 43624.0
3672 18365.0 43624.0
3676 18385.0 43624.0
3680 18405.0 43624.0
3684 18425.0 43624.0
3688 18445.0 43624.0
3692 18465.0 43624.0
3696 18485.0 43624.0
3700 18505.0 43624.0
3704 18525.0 43624.0
3708 18545.0 43624.0
3712 18565.0 43624.0
3716 18585.0 43624.0
3720 18605.0 43624.0
3724 18625.0 43624.0
3728 18645.0 43624.0
3732 18665.0 43624.0
3736 18685.0 43624.0
3740 18705.0 43624.0
3744 18725.0 43624.0
3748 18745.0 43624.0
3752 18765.0 43624.0
3756 18785.0 43624.0
3760 18805.0 43624.0
3764 18825.0 43624.0
3768 18845.0 43624.0
3772 18865.0 43624.0
3776 18885.0 43624.0
3780 18905.0 43624.0
3784 18925.0 43624.0
3788 18945.0 43624.0
3792 18965.0 43624.0
3796 18985.0 43624.0
3800 19005.0 43624.0
3804 19025.0 43624.0
3808 19045.0 43624.0
3812 19065.0 43624.0
3816 19085.0 43624.0
3820 19105.0 43624.0
3824 19125.0 43624.0
3828 19145.0 43624.0
3832 19165.0 43624.0
3836 19185.0 43624.0
3840 19205.0 43624.0
3844 19225.0 43624.0
3848 19245.0 43624.0
3852 19265.0 43624.0
3856 19285.0 43624.0
3860 19305.0 43624.0
3864 19325.0 43624.0
3868 19345.0 43624.0
3872 19365.0 43624.0
3876 19385.0 43624.0
3880 19405.0 43624.0
3884 19425.0 43624.0
3888 19445.0 43624.0
3892 19465.0 43624.0
3896 19485.0 43624.0
3900 19505.0 43624.0
3904 19525.0 43624.0
3908 19545.0 43624.0
3912 19565.0 43624.0
3916 19585.0 43624.0
3920 19605.0 43624.0
3924 19625.0 43624.0
3928 19645.0 43624.0
3932 19665.0 43624.0
3936 19685.0 43624.0
3940 19705.0 43624.0
3944 19725.0 43624.0
3948 19745.0 43624.0
3952 19765.0 43624.0
3956 19785.0 43624.0
3960 19805.0 43624.0
3964 19825.0 43624.0
3968 19845.0 43624.0
3972 19865.0 43624.0
3976 19885.0 43624.0
3980 19905.0 43624.0
3984 19925.0 43624.0
3988 19945.0 43624.0
3992 19965.0 43624.0
3996 19985.0 43599.0
4000 20005.0 43599.0
4004 20025.0 43599.0
4008 20045.0 43599.0
4012 20065.0 43599.0
4016 20085.0 43599.0
4020 20105.0 43599.0
4024 20125.0 43599.0
4028 20145.0 43599.0
4032 20165.0 43599.0
4036 20185.0 43599.0
4040 20205.0 43599.0
4044 20225.0 43599.0
4048 20245.0 43599.0
4052 20265.0 43599.0
4056 20285.0 43599.0
